tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.5402770293101412,0.12380097759662478,0.5965924090631481,0.8476200150402312,0.9302811732797943,0.0023545686773909225
0.16900669186520986,0.32406257745836164,0.07669892251348362,0.15638361526690392,0.582972909594574,0.0004945413896395578
0.4844926034023291,0.7538686804265455,0.514767353724925,0.4219043467165912,0.04721393628758319,1.509425458834368e-05
0.4142207010259157,0.8474215037962242,0.3529589586484282,0.4470118158420374,0.8623101582449755,0.00027322265584717176
0.7066732957585712,0.5464842047434465,0.55943303719403,0.8505582473586332,0.8581471453847713,0.0001269351739980884
0.10934200773065185,0.9664715210016483,0.42004003877531537,0.8348874721340269,0.48014969069720037,1.5045190460583058e-05
0.4426771295294973,0.85221141933391,0.06904847712159434,0.5929067549326499,0.35710747382341285,0.003057730849512441
0.8636755430251422,0.9298882476806989,0.12866249958129625,0.6105863647120523,0.24059551568935095,8.621267393205123e-06
0.4124536414013826,0.2694602676757898,0.6493184315564063,0.40054892060084607,0.5655207718973575,0.0009900283977376523
0.4475861251779874,0.6921604142028843,0.49914850764467156,0.7695732877728958,0.6482666171190273,0.0002731695503433995
0.31122503879853936,0.11780802239210324,0.5653811199791562,0.9382006519479693,0.028470264181866173,3.668617964969201e-08
0.6624052194669464,0.5358716710609149,0.8159789483602301,0.7161922305152882,0.9502042870642358,0.0013483556682345466
0.5303591694434978,0.23217443767970372,0.8406180989959493,0.5658214466432291,0.8299484979100613,0.004293649172323777
0.6413255685154042,0.4117505960810702,0.36986133387644055,0.20859160435999705,0.11048020406920478,6.054481841333281e-05
0.743342544858235,0.35969726735830776,0.5810439258641733,0.8687581152435201,0.04408205430210659,0.0007818172160595216
0.7634587768742663,0.16593342259063487,0.3211944750459425,0.7186152263354973,0.2351061013954641,0.006244056595266723
0.7412455924921659,0.9518853519568768,0.4104762930007609,0.8798337932378192,0.11208050909224848,0.0004996852600221979
0.10106168151209978,0.8032803557245203,0.23621077662072504,0.4770420279771185,0.9717183528707578,2.7579679523270784e-05
0.08258081303909874,0.484570724969958,0.4762464969333618,0.4964707443278116,0.7110958946630765,1.9121553804790636e-06
0.38822321486235967,0.9398223566803455,0.99078415790905,0.8099748829893834,0.047181497351432296,0.0024191233926149636
0.4266441399960605,0.8907596133855248,0.38997891289805103,0.9536187234999541,0.36357250953049614,0.00047781544876834836
0.16195983411162898,0.3991481676990245,0.016327438751258243,0.09887799970429234,0.9388635437892807,0.029086695609066182
0.40699633931385437,0.6264956010510674,0.43681686547642357,0.13507587472845778,0.8847525109153531,0.004578412322277625
